id,code,label,meridian_prefix,Point_Group,corpo_x,corpo_y,corpo_z,corpo_side,expected_pairing,consistency_flag,reference_note
uqy34E3CSvcI6vENNLgA,ST3,Juliao,ST,ST,-2.8678,63.7,3.8,Right,Paired,OK,
vEfIHSwV1E4qTdh695yv,LI2,Erjian,LI,LI,29.3322,-14.7,2.8,Left,Paired,OK,
vMeBGoeElwc43f0zZ5GC,LI4,Hegu,LI,LI,29.5322,-10.5,0.4,Left,Paired,OK,
vpQZGchznRX2D5oq95k9,PC5,Jianshi,PC,PC,-25.9229,0.8238,1.7299,Right,Paired,OK,
vzSqRVXhfHDWfH7Ovmp5,SP8,Diji,SP,SP,-3.9237,-61.9514,-2.7935,Right,Paired,OK,
w4mueRGU4Ge8pFgauHf4,LU2,Yunmen,LU,LU,-11.2678,48.6,-3.4,Right,Paired,OK,
wBtlLGRur58isUjboR18,KI1,Yongquan,KI,KI,9.7244,-94.5359,3.3642,Left,Paired,OK,
woyfCxsxTANDpc5poOLl,TW5,Waiguan,TW,SJ,-24.7933,1.1337,-4.4368,Right,Paired,OK,
xGf1k752BRVyVWkbcQlv,PC2,XinBao,PC,PC,-14.2168,20.6376,7.7054,Right,Paired,OK,
xXLjHmystiqfObdTmOvf,SP6,Sanyinjiao,SP,SP,-5.4845,-78.7117,-1.3622,Right,Paired,OK,
xZluKXa6MPgdkKT6ou8l,KID9,Zhubin,KID,KI,-6.4517,-72.3158,-6.1372,Right,Paired,OK,"Non-standard prefix ""KID"" (should be ""KI"") for Kidney meridian, point 9 (Zhubin). Paired."
xmaOHWu4M8ayISSe48oa,CV24,Chengjiang,CV,CV,0.02,60,5,Midline,Midline,OK,
ylD6dntWUiShYFw3YTsB,SJ11,Qinglengyuan,SJ,SJ,22.972,19.2647,-10.07,Left,Paired,OK,
zEs8g4Wo1pc9yeICAJKh,LIV14,Qimen,LIV,LIV,10.2849,23.4747,7.6993,Left,Paired,OK,
zJLn3xX0WnpGZPUevdBv,SP1,Yinbai,SP,SP,-4.9066,-92.2869,13.7711,Right,Paired,OK,
